idActor|name
idActor00893|Gustav Fröhlich
idActor00894|Gustav von Wangenheim
idActor00895|Guy Decomble
idActor00896|Guy Pearce
idActor00897|Guylaine Schlumberger
idActor00898|Gwen Eckhaus
idActor00899|Gwilym Lee
idActor00900|Gwyneth Paltrow
idActor00901|Gérard Jugnot
idActor00902|Günes Sensoy
idActor00903|Güven Kiraç
idActor00904|Haaz Sleiman
idActor00905|Hailee Steinfeld
idActor00906|Haing S. Ngor
idActor00907|Haley Joel Osment
idActor00908|Halina Gryglaszewska
idActor00909|Halina Reijn
idActor00910|Haluk Bilginer
idActor00911|Halvar Björk
idActor00912|Hanno Pöschl
idActor00913|Hardy Krüger
idActor00914|Harold Ramis
idActor00915|Harpo Marx
idActor00916|Harriet Andersson
idActor00917|Harrison Ford
idActor00918|Harry Connick Jr.
idActor00919|Harry Crocker
idActor00920|Harry Dean Stanton
idActor00921|Harry Guardino
idActor00922|Harry Myers
idActor00923|Harshaali Malhotra
idActor00924|Hartley Power
idActor00925|Haru Kuroki
idActor00926|Haruo Tanaka
idActor00927|Harvey Keitel
idActor00928|Harvey Korman
idActor00929|Haya Harareet
idActor00930|Hayley Squires
idActor00931|Heath Ledger
idActor00932|Hector Elizondo
idActor00933|Hee Jae
idActor00934|Hee-won Kim
idActor00935|Helen Hunt
idActor00936|Helena Bonham Carter
idActor00937|Helena Rojo
idActor00938|Helmut Griem
